Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Diet,3082,HGF,hepatocyte growth factor (hepapoietin A; scatter factor),SF HGFB HPTA F-TCF DFNB39,7,503
Diet,3146,HMGB1,high mobility group box 1,HMG1 HMG3 HMG-1 SBP-1,13,110676
Diet,3158,HMGCS2,3-hydroxy-3-methyglutaryl-CoC synthase 2 (mitochondrial),NA,1,38066
Diet,6927,HNF1A,HNF1 homeobox A,HNF1 LFB1 TCF1 MODY3 TCF-1 HNF-1A IDDM20,12,459
Diet,3172,HNF4A,"hepatocyte nuclear factor 4, alpha",TCF HNF4 MODY FRTS4 MODY1 NR2A1 TCF14 HNF4a7 HNF4a8 HNF4a9 NR2A21 HNF4alpha,20,395
Diet,3309,HSPA5,heat shock protein family A (Hsp70) member 5,BIP MIF2 GRP78 HEL-S-89n,9,3908
Diet,3356,HTR2A,"5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled",HTR2 5-HT2A,13,68073
Diet,3479,IGF1,insulin like growth factor 1,MGF IGFI IGF-I,12,515
Diet,3586,IL10,interleukin 10,CSIF TGIF GVHDS IL-10 IL10A,1,478
Diet,3605,IL17A,interleukin 17A,"IL17,  CTLA8,  IL-17,  CTLA-8,  IL-17A",6,1651
Diet,3569,IL6,interleukin 6,CDF HGF HSF BSF2 IL-6 BSF-2 IFNB2 IFN-beta-2,7,502
Diet,3630,INS,insulin,IDDM ILPR IRDN IDDM1 IDDM2 MODY10,11,173
Diet,8660,IRS2,insulin receptor substrate 2,IRS-2,13,2778
Diet,7071,KLF10,Kruppel like factor 10 ,EGRA TIEG TIEG1 EGR-alpha,8,4135
Diet,3827,KNG1,kininogen 1,BK BDK KNG,3,88343
Diet,3949,LDLR,low density lipoprotein receptor,FH FHC LDLCQ2,19,55469
Diet,4023,LPL,lipoprotein lipase,LIPD HDLCQ11,8,200
Diet,4040,LRP6,LDL receptor related protein 6,ADCAD2,12,1747
Diet,4153,MBL2,"mannose-binding lectin (protein C) 2, soluble",MBL MBP MBP1 MBPD MBL2D MBP-C COLEC1 HSMBPC,10,110436
Diet,4160,MC4R,melanocortin 4 receptor,,18,4320
Diet,4282,MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor),GIF GLIF MMIF,22,55655
Diet,4323,MMP14,matrix metallopeptidase 14,MMP-14 MMP-X1 MT-MMP MT1MMP MTMMP1 WNCHRS MT1-MMP MT-MMP 1,14,21040
Diet,4353,MPO,myeloperoxidase,,17,55450
Diet,4524,MTHFR,methylenetetrahydrofolate reductase (NAD(P)H),,1,4349
Diet,4803,NGF,nerve growth factor (beta polypeptide),NGFB HSAN5 Beta-NGF,1,1876
Diet,114548,NLRP3,"NLR family, pyrin domain containing 3",AII AVP FCU MWS FCAS CIAS1 FCAS1 NALP3 C1orf7 CLR1.1 PYPAF1 AGTAVPRL,1,3600
Diet,64127,NOD2,nucleotide binding oligomerization domain containing 2,CD ACUG BLAU IBD1 NLRC2 NOD2B CARD15 CLR16.3 PSORAS1,16,11156
Diet,4842,NOS1,nitric oxide synthase 1 (neuronal),"NOS,  bNOS,  nNOS,  IHPS1,  N-NOS,  NC-NOS",12,37327
Diet,4843,NOS2,nitric oxide synthase 2,NOS INOS NOS2A HEP-NOS,17,55473
Diet,4846,NOS3,nitric oxide synthase 3,"eNOS,  ECNOS",7,504
Diet,4868,NPHS1,"nephrosis 1, congenital, Finnish type (nephrin)",CNF NPHN nephrin,19,20974
Diet,4852,NPY,neuropeptide Y,PYY4,7,697
Diet,5091,PC,pyruvate carboxylase,PCB,11,5422
Diet,9463,PICK1,protein interacting with PRKCA 1,PICK PRKCABP,22,7470
Diet,5290,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","MCM,  CWS5,  MCAP,  PI3K,  CLOVE,  MCMTC,  p110-alpha",3,21249
Diet,5444,PON1,paraoxonase 1,ESA PON MVCD5,7,68058
Diet,5465,PPARA,peroxisome proliferator-activated receptor alpha,PPAR NR1C1 hPPAR PPARalpha,22,21047
Diet,5468,PPARG,peroxisome proliferator-activated receptor gamma,GLM1 CIMT1 NR1C3 PPARG1 PPARG2 PPARgamma,3,7899
Diet,10891,PPARGC1A,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha",LEM6 PGC1 PGC1A PGC-1v PPARGC1 PGC-1(alpha),4,7485
Diet,5728,PTEN,phosphatase and tensin homolog,BZS DEC CWS1 GLM2 MHAM TEP1 MMAC1 PTEN1 10q23del,10,265
Diet,5730,PTGDS,prostaglandin D2 synthase,PDS PGD2 PGDS LPGDS PGDS2 L-PGDS,9,737
Diet,5741,PTH,parathyroid hormone,PTH1,11,266
Diet,5745,PTH1R,parathyroid hormone 1 receptor,PFE PTHR PTHR1,3,267
Diet,5770,PTPN1,"protein tyrosine phosphatase, non-receptor type 1",PTP1B,20,2119
Diet,5950,RBP4,retinol binding protein 4,RDCCAS MCOPCB10,10,4908
Diet,5970,RELA,v-rel avian reticuloendotheliosis viral oncogene homolog A,"p65,  NFKB3",11,32064
Diet,6093,ROCK1,"Rho-associated, coiled-coil containing protein kinase 1",ROCK-I P160ROCK,18,55899
Diet,6194,RPS6,ribosomal protein S6,S6,9,85949
Diet,6288,SAA1,serum amyloid A1,SAA PIG4 SAA2 TP53I4,11,128033
Diet,5176,SERPINF1,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member",OI6 OI12 PEDF EPC-1 PIG35,17,1965
Diet,6446,SGK1,serum/glucocorticoid regulated kinase 1,SGK,6,48364
Diet,23411,SIRT1,sirtuin 1,SIR2 SIR2L1 SIR2alpha,10,56556
Diet,51548,SIRT6,sirtuin 6,SIR2L6,19,6924
Diet,6514,SLC2A2,"solute carrier family 2 (facilitated glucose transporter), member 2",GLUT2,3,68047
Diet,6517,SLC2A4,"solute carrier family 2 (facilitated glucose transporter), member 4",GLUT4,17,74381
Diet,169026,SLC30A8,The solute carrier family 30 member 8 gene ,ZNT8   ZNT-8,8,13795
Diet,6523,SLC5A1,"solute carrier family 5 (sodium/glucose cotransporter), member 1",NAGT SGLT1 D22S675,22,55456
Diet,6524,SLC5A2,"solute carrier family 5 (sodium/glucose cotransporter), member 2",SGLT2,16,2289
Diet,6548,SLC9A1,"solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1",APNH NHE1 LIKNS NHE-1 PPP1R143,1,20660
Diet,8651,SOCS1,suppressor of cytokine signaling 1,JAB CIS1 SSI1 TIP3 CISH1 SSI-1 SOCS-1,16,2776
Diet,9021,SOCS3,suppressor of cytokine signaling 3,CIS3 SSI3 ATOD4 Cish3 SSI-3 SOCS-3,17,2941
Diet,6647,SOD1,"superoxide dismutase 1, soluble",ALS SOD ALS1 IPOA hSod1 HEL-S-44 homodimer,21,392
Diet,6648,SOD2,"superoxide dismutase 2, mitochondrial",IPOB MNSOD MVCD6,6,530
Diet,6678,SPARC,"secreted protein, acidic, cysteine-rich (osteonectin)",ON BM-40,5,31132
Diet,6696,SPP1,secreted phosphoprotein 1,OPN BNSP BSPI ETA-1,4,20156
Diet,6720,SREBF1,sterol regulatory element binding transcription factor 1,SREBP1 bHLHd1 SREBP-1c,17,3079
Diet,6774,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),APRF HIES ADMIO,17,7960
Diet,6776,STAT5A,signal transducer and activator of transcription 5A,MGF STAT5,17,20680
Diet,6934,TCF7L2,"transcription factor 7-like 2 (T-cell specific, HMG-box)",TCF4 TCF-4,10,7564
Diet,7076,TIMP1,TIMP metallopeptidase inhibitor 1,EPA EPO HCI CLGI TIMP,X,36321
Diet,7078,TIMP3,TIMP metallopeptidase inhibitor 3,SFD K222 K222TA2 HSMRK222,22,36322
Diet,7097,TLR2,toll-like receptor 2,TIL4 CD282,4,20695
Diet,7099,TLR4,toll-like receptor 4,TOLL CD284 TLR-4 ARMD10,9,41317
Diet,7124,TNF,tumor necrosis factor,DIF TNFA TNFSF2 TNF-alpha,6,496
Diet,57761,TRIB3,tribbles pseudokinase 3,NIPK SINK TRB3 SKIP3 C20orf97,20,10902
Diet,7220,TRPC1,"transient receptor potential cation channel, subfamily C, member 1","TRP1, HTRP-1",3,2478
Diet,7225,TRPC6,transient receptor potential cation channel subfamily C member 6,TRP6 FSGS2,11,37944
Diet,10628,TXNIP,thioredoxin interacting protein,THIF VDUP1 HHCPA78 EST01027,1,38186
Diet,7351,UCP2,"uncoupling protein 2 (mitochondrial, proton carrier)",UCPH BMIQ4 SLC25A8,11,2516
Diet,7392,USF2,"upstream transcription factor 2, c-fos interacting",FIP bHLHb12,19,2527
Diet,7421,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",NR1I1 PPP1R163,12,37297
Diet,7422,VEGFA,vascular endothelial growth factor A,VPF VEGF MVCD1,6,2534
Inflammation,19,ABCA1,ATP binding cassette subfamily A member 1,TGD ABC1 CERP ABC-1 HDLDT1,9,21130
Inflammation,85320,ABCC11,ATP binding cassette subfamily C member 11,WW EWWD MRP8,16,69511
Inflammation,9619,ABCG1,ATP binding cassette subfamily G member 1,ABC8 WHITE1,21,21022
Inflammation,32,ACACB,acetyl-CoA carboxylase beta,ACC2 ACCB HACC275,12,74382
Inflammation,59272,ACE2,angiotensin I converting enzyme 2,ACEH,X,41448
Inflammation,6868,ADAM17,ADAM metallopeptidase domain 17,CSVP TACE NISBD ADAM18 CD156B NISBD1,2,2395
Inflammation,116,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary),PACAP,18,869
Inflammation,9370,ADIPOQ,"adiponectin, C1Q and collagen domain containing",ACDC ADPN APM1 APM-1 GBP28 ACRP30 ADIPQTL1,3,3525
Inflammation,177,AGER,advanced glycosylation end product-specific receptor,RAGE,6,883
Inflammation,183,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",ANHU SERPINA8,1,14
Inflammation,197,AHSG,alpha-2-HS-glycoprotein,AHS A2HS HSGA FETUA,3,1225
Inflammation,231,AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase)",AR ADR ALR2 ALDR1,7,133743
Inflammation,207,AKT1,v-akt murine thymoma viral oncogene homolog 1,AKT PKB RAC CWS6 PRKBA PKB-ALPHA RAC-ALPHA,14,3785
Inflammation,213,ALB,albumin,"FDAH,  ALBA,  PRO0883,  PRO0903,  PRO1341",4,405
Inflammation,241,ALOX5AP,arachidonate 5-lipoxygenase-activating protein,FLAP,13,1231
Inflammation,284,ANGPT1,angiopoietin 1,AGP1 AGPT ANG1,8,37447
Inflammation,23452,ANGPTL2,angiopoietin like 2,ARP2 HARP,9,22695
Inflammation,51129,ANGPTL4,angiopoietin like 4,NL2 ARP4 FIAF HARP PGAR HFARP TGQTL UNQ171 pp1158,19,10755
Inflammation,348,APOE,apolipoprotein E,"AD2, LPG, LDLCQ5",19,30951
Inflammation,367,AR,androgen receptor,KD AIS AR8 TFM DHTR SBMA HYSP1 NR3C4 SMAX1 HUMARA,X,28
Inflammation,551,AVP,arginine vasopressin,VP ADH ARVP AVRP AVP-NPII,20,417
Inflammation,596,BCL2,B-cell CLL/lymphoma 2,"Bcl-2,  PPP1R50",18,527
Inflammation,652,BMP4,bone morphogenetic protein 4,"ZYME,BMP2B,OFC11,BMP2B1,MCOPS6",14,7247
Inflammation,718,C3,complement component 3,ASP C3a C3b AHUS5 ARMD9 CPAMD1 HEL-S-62p,19,68031
Inflammation,847,CAT,catalase,,11,55514
Inflammation,885,CCK,cholecystokinin,,3,583
Inflammation,6347,CCL2,chemokine (C-C motif) ligand 2,HC11 MCAF MCP1 MCP-1 SCYA2 GDCF-2 SMC-CF HSMCR30,17,2245
Inflammation,6352,CCL5,C-C motif chemokine ligand 5,"SISd,  eoCP,  SCYA5,  RANTES,  TCP228,  D17S136E,  SIS-delta",17,2244
Inflammation,1230,CCR1,chemokine (C-C motif) receptor 1,CKR1 CD191 CKR-1 HM145 CMKBR1 MIP1aR SCYAR1,3,20344
Inflammation,729230,CCR2,chemokine (C-C motif) receptor 2,CKR2 CCR-2 CCR2A CCR2B CD192 CKR2A CKR2B CMKBR2 MCP-1-R CC-CKR-2,3,537
