Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Nephropathy,TLR4,7099,toll-like receptor 4,"TOLL, CD284, TLR-4, ARMD10",9,41317
Nephropathy,TNF,7124,tumor necrosis facto,"DIF, TNFA, TNFSF2, TNF-alpha",6,496
Nephropathy,UCP2,7351,uncoupling protein 2,"UCPH, BMIQ4, SLC25A8",11,2516
Nephropathy,WFS1,7466,Wolfram syndrome 1 (,"WFS, WFRS, WFSL, CTRCT41",4,4380
Neuropathy,ALDH2,217,aldehyde dehydrogena,"ALDM, ALDHI, ALDH-E2",12,55480
Neuropathy,CCL2,6347,chemokine (C-C motif,"HC11, MCAF, MCP1, MCP-1, SCYA2, GDCF-2, SMC-CF, HS",17,2245
Neuropathy,IRS2,8660,insulin receptor sub,IRS-2,13,2778
Neuropathy,PARP,143,Poly [ADP-ribose] po,"ADPRT, PPOL",1,124423
Neuropathy,SOD2,6648,superoxide dismutase,"IPOB, MNSOD, MVCD6",6,530
Neuropathy,TLR4,7099,toll-like receptor 4,"TOLL, CD284, TLR-4, ARMD10",9,41317
Neuropathy,TNF,7124,tumor necrosis facto,"DIF, TNFA, TNFSF2, TNF-alpha",6,496
Neuropathy,UCP2,7351,uncoupling protein 2,"UCPH, BMIQ4, SLC25A8",11,2516
Cardiovascular,ALDH2,217,aldehyde dehydrogena,"ALDM, ALDHI, ALDH-E2",12,55480
Cardiovascular,CD36,948,CD36 molecule (throm,"FAT, GP4, GP3B, GPIV, CHDS7, PASIV, SCARB3, BDPLT1",7,73871
Cardiovascular,GPX1,2876,glutathione peroxida,"GPXD, GSHPX1",3,20155
Cardiovascular,PPARGC1A,10891,peroxisome prolifera,"LEM6, PGC1, PGC1A, PGC-1v, PPARGC1, PGC-1(alpha)",4,7485
Retinopathy,CCL2,6347,chemokine (C-C motif,"HC11, MCAF, MCP1, MCP-1, SCYA2, GDCF-2, SMC-CF, HS",17,2245
Retinopathy,GAPDH,2597,glyceraldehyde-3-pho,"G3PD, GAPD, HEL-S-162eP",12,107053
Retinopathy,GSTM1,2944,glutathione S-transf,"MU, H-B, GST1, GTH4, GTM1, MU-1, GSTM1-1, GSTM1a-1",1,121492
Retinopathy,HFE,3077,hemochromatosis,"HH, HFE1, HLA-H, MVCD7, TFQTL2",6,88330
Retinopathy,IRS1,3667,insulin receptor sub,HIRS-1,2,4049
Retinopathy,SOCS3,9021,suppressor of cytoki,"CIS3, SSI3, ATOD4, Cish3, SSI-3, SOCS-3",17,2941
Retinopathy,SOD2,6648,superoxide dismutase,"IPOB, MNSOD, MVCD6",6,530
Retinopathy,TLR4,7099,toll-like receptor 4,"TOLL, CD284, TLR-4, ARMD10",9,41317
Retinopathy,TNF,7124,tumor necrosis facto,"DIF, TNFA, TNFSF2, TNF-alpha",6,496
Retinopathy,UCP2,7351,uncoupling protein 2,"UCPH, BMIQ4, SLC25A8",11,2516
